votes_photo1,votes_photo2,rang_photo1,rang_photo2,ratio_photo1,ratio_photo2,votes_ratio,rang_diff,ratio_diff,votes_diff,target,nom_profil,nom_challenge
169,131,351,506,2.332,1.365,1.2900763358778626,-155,0.9669999999999999,38,1,bruno,Demo Challenge 3
64,241,455,445,0.747,0.711,0.26556016597510373,10,0.03600000000000003,-177,0,bruno,Demo Challenge 4
397,243,502,490,1.273,1.891,1.6337448559670782,12,-0.6180000000000001,154,1,bruno,Demo Challenge 5
130,524,564,419,1.979,2.061,0.2480916030534351,145,-0.08199999999999985,-394,1,bruno,Demo Challenge 1
305,706,255,505,1.721,1.871,0.43201133144475923,-250,-0.1499999999999999,-401,1,bruno,Demo Challenge 2
556,313,458,215,1.818,2.075,1.7763578274760383,243,-0.2570000000000001,243,0,bruno,Demo Challenge 3
74,714,263,447,1.505,2.224,0.10364145658263306,-184,-0.7190000000000003,-640,0,bruno,Demo Challenge 4
231,626,376,35,2.464,2.061,0.36900958466453676,341,0.403,-395,0,bruno,Demo Challenge 5
117,775,287,10,0.746,0.78,0.15096774193548387,277,-0.03400000000000003,-658,0,bruno,Demo Challenge 1
702,557,457,549,1.263,1.303,1.26032315978456,-92,-0.040000000000000036,145,0,bruno,Demo Challenge 2
381,793,551,369,0.942,2.271,0.48045397225725095,182,-1.329,-412,0,bruno,Demo Challenge 3
164,115,239,432,0.699,1.166,1.4260869565217391,-193,-0.46699999999999997,49,1,bruno,Demo Challenge 4
647,452,380,237,1.837,0.866,1.4314159292035398,143,0.971,195,0,bruno,Demo Challenge 5
229,698,445,582,0.619,0.774,0.32808022922636104,-137,-0.15500000000000003,-469,0,bruno,Demo Challenge 1
467,386,478,411,0.673,2.14,1.2098445595854923,67,-1.467,81,1,bruno,Demo Challenge 2
639,738,1,453,2.372,1.006,0.8658536585365854,-452,1.3659999999999999,-99,1,bruno,Demo Challenge 3
497,580,319,94,0.562,0.919,0.8568965517241379,225,-0.357,-83,0,bruno,Demo Challenge 4
362,788,361,36,2.294,0.927,0.4593908629441624,325,1.367,-426,0,bruno,Demo Challenge 5
230,688,165,369,1.695,1.414,0.33430232558139533,-204,0.28100000000000014,-458,1,bruno,Demo Challenge 1
456,77,283,338,2.151,0.995,5.922077922077922,-55,1.1559999999999997,379,1,bruno,Demo Challenge 2
411,612,132,245,2.237,0.941,0.6715686274509803,-113,1.2960000000000003,-201,1,bruno,Demo Challenge 3
595,770,523,563,2.156,2.404,0.7727272727272727,-40,-0.24799999999999978,-175,0,bruno,Demo Challenge 4
778,204,236,203,1.407,1.06,3.8137254901960786,33,0.347,574,0,bruno,Demo Challenge 5
125,357,142,227,2.021,1.484,0.35014005602240894,-85,0.5369999999999999,-232,1,bruno,Demo Challenge 1
278,277,561,170,2.443,1.44,1.0036101083032491,391,1.0030000000000001,1,0,bruno,Demo Challenge 2
510,232,545,535,1.867,1.181,2.1982758620689653,10,0.6859999999999999,278,1,bruno,Demo Challenge 3
758,294,266,478,1.675,1.4,2.578231292517007,-212,0.27500000000000013,464,1,bruno,Demo Challenge 4
178,656,217,574,0.513,2.203,0.27134146341463417,-357,-1.69,-478,1,bruno,Demo Challenge 5
333,694,460,402,1.931,1.071,0.47982708933717577,58,0.8600000000000001,-361,0,bruno,Demo Challenge 1
642,55,158,29,1.522,1.036,11.672727272727272,129,0.486,587,1,bruno,Demo Challenge 2
694,550,147,471,1.5,1.528,1.2618181818181817,-324,-0.028000000000000025,144,1,bruno,Demo Challenge 3
375,283,181,156,1.49,0.585,1.325088339222615,25,0.905,92,1,bruno,Demo Challenge 4
729,316,20,175,2.091,1.708,2.3069620253164556,-155,0.38300000000000023,413,1,bruno,Demo Challenge 5
267,480,64,340,1.6,0.961,0.55625,-276,0.6390000000000001,-213,0,bruno,Demo Challenge 1
623,284,447,573,1.312,1.245,2.193661971830986,-126,0.06699999999999995,339,0,bruno,Demo Challenge 2
274,580,441,244,1.235,0.577,0.4724137931034483,197,0.6580000000000001,-306,0,bruno,Demo Challenge 3
689,95,515,306,0.739,1.855,7.252631578947368,209,-1.116,594,0,bruno,Demo Challenge 4
276,787,331,537,1.655,0.632,0.35069885641677256,-206,1.0230000000000001,-511,0,bruno,Demo Challenge 5
269,168,552,424,2.265,2.105,1.6011904761904763,128,0.16000000000000014,101,1,bruno,Demo Challenge 1
116,340,509,522,1.908,1.986,0.3411764705882353,-13,-0.07800000000000007,-224,0,bruno,Demo Challenge 2
457,219,327,574,1.623,1.245,2.08675799086758,-247,0.3779999999999999,238,1,bruno,Demo Challenge 3
100,317,381,444,2.479,1.298,0.31545741324921134,-63,1.181,-217,1,bruno,Demo Challenge 4
368,656,71,442,1.377,1.469,0.5609756097560976,-371,-0.09200000000000008,-288,1,bruno,Demo Challenge 5
531,130,360,26,0.86,1.691,4.084615384615384,334,-0.8310000000000001,401,1,bruno,Demo Challenge 1
558,674,181,290,1.653,1.081,0.827893175074184,-109,0.5720000000000001,-116,1,bruno,Demo Challenge 2
279,566,53,479,0.531,2.44,0.4929328621908127,-426,-1.9089999999999998,-287,0,bruno,Demo Challenge 3
496,181,264,146,0.762,2.497,2.7403314917127073,118,-1.7349999999999999,315,1,bruno,Demo Challenge 4
758,273,36,198,2.377,0.663,2.7765567765567765,-162,1.7139999999999997,485,0,bruno,Demo Challenge 5
0,141,999,155,0.0,1.5,0.0,844,-1.5,-141,0,bruno,Perfect Shot
198,285,98,21,1.51,1.5,0.6947368421052632,77,0.010000000000000009,-87,0,bruno,Perfect Shot
301,255,14,42,1.33,1.5,1.1803921568627451,-28,-0.16999999999999993,46,1,bruno,Perfect Shot
194,287,102,19,1.33,1.5,0.6759581881533101,83,-0.16999999999999993,-93,0,bruno,Perfect Shot
247,296,50,16,1.47,1.55,0.8344594594594594,34,-0.08000000000000007,-49,0,bruno,Perfect Shot
314,264,10,35,1.33,1.33,1.1893939393939394,-25,0.0,50,1,bruno,Perfect Shot
241,186,55,110,1.5,1.33,1.2956989247311828,-55,0.16999999999999993,55,1,bruno,Perfect Shot
1000,1100,200,150,1.5,1.5,0.9090909090909091,50,0.0,-100,0,bruno,Bike Riders
1000,1100,200,150,1.5,1.5,0.9090909090909091,50,0.0,-100,0,bruno,Bike Riders
1000,1100,200,150,1.5,1.5,0.9090909090909091,50,0.0,-100,0,bruno,Movement
1000,1100,200,150,1.5,1.5,0.9090909090909091,50,0.0,-100,0,bruno,Bike Riders
1000,1100,200,150,1.5,1.5,0.9090909090909091,50,0.0,-100,0,bruno,Bike Riders
1000,1100,200,150,1.5,1.5,0.9090909090909091,50,0.0,-100,0,bruno,Movement
267,14,157,406,1.33,1.5,19.071428571428573,-249,-0.16999999999999993,253,1,bruno,Capturing Beige
211,224,212,199,1.33,1.5,0.9419642857142857,13,-0.16999999999999993,-13,0,bruno,Capturing Beige
251,205,172,218,1.5,2.5,1.224390243902439,-46,-1.0,46,0,bruno,Capturing Beige
202,204,221,219,1.33,1.5,0.9901960784313726,2,-0.16999999999999993,-2,0,bruno,Capturing Beige
229,283,194,144,1.4,1.33,0.8091872791519434,50,0.06999999999999984,-54,1,bruno,Capturing Beige
237,192,186,231,1.39,1.5,1.234375,-45,-0.1100000000000001,45,1,bruno,Capturing Beige
191,192,232,231,0.75,1.5,0.9947916666666666,1,-0.75,-1,0,bruno,Capturing Beige
281,173,145,250,1.5,1.33,1.6242774566473988,-105,0.16999999999999993,108,1,bruno,Capturing Beige
194,189,229,234,1.33,1.37,1.0264550264550265,-5,-0.040000000000000036,5,0,bruno,Capturing Beige
194,184,229,239,1.33,1.5,1.0543478260869565,-10,-0.16999999999999993,10,0,bruno,Capturing Beige
184,34,144,294,1.5,1.47,5.411764705882353,-150,0.030000000000000027,150,1,bruno,Screen Stars - Blossom Shine
171,178,157,150,1.5,1.5,0.9606741573033708,7,0.0,-7,0,bruno,Screen Stars - Blossom Shine
160,225,168,106,1.25,1.37,0.7111111111111111,62,-0.1200000000000001,-65,1,bruno,Screen Stars - Blossom Shine
227,157,104,171,1.5,1.25,1.4458598726114649,-67,0.25,70,1,bruno,Screen Stars - Blossom Shine
153,160,175,168,1.5,1.5,0.95625,7,0.0,-7,0,bruno,Screen Stars - Blossom Shine
153,151,175,177,1.5,1.5,1.0132450331125828,-2,0.0,2,1,bruno,Screen Stars - Blossom Shine
169,150,159,178,1.39,1.46,1.1266666666666667,-19,-0.07000000000000006,19,0,bruno,Screen Stars - Blossom Shine
115,36,420,507,1.5,0.78,3.1944444444444446,-87,0.72,79,1,bruno,"Ships, boats and Yachts"
251,246,286,290,0.92,1.35,1.0203252032520325,-4,-0.43000000000000005,5,1,bruno,"Ships, boats and Yachts"
221,196,315,340,1.33,1.49,1.1275510204081634,-25,-0.15999999999999992,25,0,bruno,"Ships, boats and Yachts"
213,118,323,417,1.35,0.56,1.805084745762712,-94,0.79,95,1,bruno,"Ships, boats and Yachts"
255,207,282,329,1.5,1.33,1.2318840579710144,-47,0.16999999999999993,48,0,bruno,"Ships, boats and Yachts"
135,311,400,241,1.78,1.5,0.4340836012861736,159,0.28,-176,1,bruno,"Ships, boats and Yachts"
193,244,343,292,1.49,1.33,0.7909836065573771,51,0.15999999999999992,-51,0,bruno,"Ships, boats and Yachts"
157,136,378,399,1.48,1.5,1.1544117647058822,-21,-0.020000000000000018,21,1,bruno,"Ships, boats and Yachts"
111,124,424,411,1.5,1.5,0.8951612903225806,13,0.0,-13,0,bruno,"Ships, boats and Yachts"
191,111,345,424,1.5,1.5,1.7207207207207207,-79,0.0,80,1,bruno,"Ships, boats and Yachts"
512,74,250,637,1.32,1.33,6.918918918918919,-387,-0.010000000000000009,438,1,bruno,Meaningful Memories
341,0,389,999,1.5,0.0,341.0,-610,1.5,341,1,bruno,Meaningful Memories
481,327,262,403,1.29,0.67,1.470948012232416,-141,0.62,154,0,bruno,Meaningful Memories
462,521,276,243,1.33,1.4,0.8867562380038387,33,-0.06999999999999984,-59,0,bruno,Meaningful Memories
317,421,413,311,1.5,1.5,0.7529691211401425,102,0.0,-104,1,bruno,Meaningful Memories
363,313,367,417,1.29,1.5,1.159744408945687,-50,-0.20999999999999996,50,0,bruno,Meaningful Memories
285,466,445,272,1.51,1.37,0.6115879828326181,173,0.1399999999999999,-181,0,bruno,Meaningful Memories
308,54,247,496,1.5,0.67,5.703703703703703,-249,0.83,254,1,bruno,Naturally Lit Portraits
278,384,277,186,1.42,1.5,0.7239583333333334,91,-0.08000000000000007,-106,0,bruno,Naturally Lit Portraits
277,349,278,208,1.25,1.5,0.7936962750716332,70,-0.25,-72,1,bruno,Naturally Lit Portraits
360,334,200,222,1.5,1.33,1.0778443113772456,-22,0.16999999999999993,26,1,bruno,Naturally Lit Portraits
251,251,304,304,0.67,0.75,1.0,0,-0.07999999999999996,0,0,bruno,Naturally Lit Portraits
241,241,314,314,0.79,1.53,1.0,0,-0.74,0,1,bruno,Naturally Lit Portraits
237,235,318,320,0.75,1.5,1.0085106382978724,-2,-0.75,2,1,bruno,Naturally Lit Portraits
269,91,286,465,1.13,1.42,2.956043956043956,-179,-0.29000000000000004,178,0,bruno,Naturally Lit Portraits
269,237,286,318,1.13,1.19,1.1350210970464134,-32,-0.06000000000000005,32,0,bruno,Naturally Lit Portraits
36,105,217,148,1.5,1.33,0.34285714285714286,69,0.16999999999999993,-69,0,bruno,Show Us Elegance
91,216,162,37,1.84,1.41,0.4212962962962963,125,0.43000000000000016,-125,0,bruno,Show Us Elegance
285,271,5,7,1.5,1.32,1.051660516605166,-2,0.17999999999999994,14,1,bruno,Show Us Elegance
178,234,75,22,0.67,1.5,0.7606837606837606,53,-0.83,-56,0,bruno,Show Us Elegance
173,231,80,24,1.5,1.52,0.7489177489177489,56,-0.020000000000000018,-58,0,bruno,Show Us Elegance
220,203,34,50,1.54,1.51,1.083743842364532,-16,0.030000000000000027,17,1,bruno,Show Us Elegance
124,59,129,194,0.66,1.5,2.1016949152542375,-65,-0.84,65,0,bruno,Show Us Elegance
297,0,285,999,1.5,0.0,297.0,-714,1.5,297,1,bruno,The Land Or The Sea
361,220,256,361,1.33,1.5,1.6409090909090909,-105,-0.16999999999999993,141,1,bruno,The Land Or The Sea
289,211,292,369,0.75,1.5,1.3696682464454977,-77,-0.75,78,0,bruno,The Land Or The Sea
242,278,339,302,1.55,1.5,0.8705035971223022,37,0.050000000000000044,-36,0,bruno,The Land Or The Sea
197,272,385,308,1.5,1.33,0.7242647058823529,77,0.16999999999999993,-75,0,bruno,The Land Or The Sea
238,197,343,385,0.46,1.5,1.2081218274111676,-42,-1.04,41,0,bruno,The Land Or The Sea
343,1207,1364,553,0.75,1.25,0.28417564208782103,811,-0.5,-864,0,bruno,Asymmetrical Balance
2030,2156,30,14,1.53,1.25,0.9415584415584416,16,0.28,-126,1,bruno,Asymmetrical Balance
1582,1895,221,50,1.5,1.33,0.8348284960422163,171,0.16999999999999993,-313,0,bruno,Asymmetrical Balance
2115,2191,18,9,1.5,1.64,0.9653126426289366,9,-0.1399999999999999,-76,0,bruno,Asymmetrical Balance
2014,1516,31,276,1.5,1.5,1.3284960422163588,-245,0.0,498,1,bruno,Asymmetrical Balance
2187,1303,11,469,1.33,1.64,1.6784343821949348,-458,-0.30999999999999983,884,1,bruno,Asymmetrical Balance
2102,801,20,937,1.5,1.36,2.624219725343321,-917,0.1399999999999999,1301,0,bruno,Asymmetrical Balance
1563,1638,235,174,1.51,1.33,0.9542124542124543,61,0.17999999999999994,-75,0,bruno,Asymmetrical Balance
946,1759,799,97,1.33,1.5,0.5378055713473564,702,-0.16999999999999993,-813,0,bruno,Asymmetrical Balance
0,320,999,414,0.0,1.5,0.0,585,-1.5,-320,0,bruno,Have A Seat
344,0,395,999,1.48,0.0,344.0,-604,1.48,344,0,bruno,Have A Seat
264,335,470,404,1.33,1.78,0.7880597014925373,66,-0.44999999999999996,-71,0,bruno,Have A Seat
347,254,392,480,1.38,1.33,1.3661417322834646,-88,0.04999999999999982,93,1,bruno,Have A Seat
315,254,419,480,1.33,0.96,1.2401574803149606,-61,0.3700000000000001,61,1,bruno,Have A Seat
300,307,434,427,1.5,1.16,0.9771986970684039,7,0.3400000000000001,-7,1,bruno,Have A Seat
180,939,553,103,1.5,1.33,0.19169329073482427,450,0.16999999999999993,-759,0,bruno,Have A Seat
232,261,502,473,1.5,1.43,0.8888888888888888,29,0.07000000000000006,-29,0,bruno,Have A Seat
192,126,1116,1130,0.56,1.5,1.5238095238095237,-14,-0.94,66,0,bruno,Snouts & Noses
771,442,562,883,1.5,1.36,1.744343891402715,-321,0.1399999999999999,329,0,bruno,Snouts & Noses
862,1499,483,13,1.33,1.09,0.5750500333555704,470,0.24,-637,0,bruno,Snouts & Noses
297,533,1028,792,1.5,1.34,0.5572232645403377,236,0.15999999999999992,-236,1,bruno,Snouts & Noses
1258,820,119,519,1.33,1.33,1.5341463414634147,-400,0.0,438,1,bruno,Snouts & Noses
1182,575,187,751,1.5,1.33,2.0556521739130433,-564,0.16999999999999993,607,0,bruno,Snouts & Noses
507,777,818,557,1.5,1.4,0.6525096525096525,261,0.10000000000000009,-270,0,bruno,Snouts & Noses
1094,877,270,470,1.29,1.1,1.2474344355758267,-200,0.18999999999999995,217,1,bruno,Snouts & Noses
1324,842,70,500,1.5,1.33,1.5724465558194773,-430,0.16999999999999993,482,1,bruno,Snouts & Noses
842,573,500,753,1.33,1.5,1.469458987783595,-253,-0.16999999999999993,269,1,bruno,Snouts & Noses
423,0,628,999,1.5,0.0,423.0,-371,1.5,423,1,bruno,Let’s Have Fun!
413,396,638,655,1.33,1.25,1.042929292929293,-17,0.08000000000000007,17,1,bruno,Let’s Have Fun!
955,406,218,645,1.5,2.22,2.352216748768473,-427,-0.7200000000000002,549,1,bruno,Let’s Have Fun!
1085,987,109,189,1.51,1.55,1.099290780141844,-80,-0.040000000000000036,98,0,bruno,Let’s Have Fun!
413,981,638,194,1.33,1.33,0.42099898063200814,444,0.0,-568,1,bruno,Let’s Have Fun!
1241,892,19,280,1.33,1.5,1.391255605381166,-261,-0.16999999999999993,349,1,bruno,Let’s Have Fun!
1085,293,109,759,0.87,0.71,3.7030716723549486,-650,0.16000000000000003,792,0,bruno,Let’s Have Fun!
245,967,804,208,1.25,1.48,0.2533609100310238,596,-0.22999999999999998,-722,0,bruno,Let’s Have Fun!
0,1244,999,90,0.0,1.5,0.0,909,-1.5,-1244,0,bruno,Mysterious Mysteries
1348,1361,27,20,1.33,1.5,0.9904481998530492,7,-0.16999999999999993,-13,0,bruno,Mysterious Mysteries
1269,1243,71,91,1.5,0.75,1.0209171359613838,-20,0.75,26,1,bruno,Mysterious Mysteries
351,465,812,699,1.33,1.5,0.7548387096774194,113,-0.16999999999999993,-114,0,bruno,Mysterious Mysteries
316,953,849,345,0.78,1.33,0.3315844700944386,504,-0.55,-637,0,bruno,Mysterious Mysteries
1131,474,180,690,1.59,1.5,2.3860759493670884,-510,0.09000000000000008,657,0,bruno,Mysterious Mysteries
436,305,728,860,1.78,1.5,1.4295081967213115,-132,0.28,131,1,bruno,Mysterious Mysteries
0,1363,999,350,0.0,1.51,0.0,649,-1.51,-1363,0,bruno,Incredible Adventures
1840,929,37,770,1.5,1.5,1.9806243272335844,-733,0.0,911,1,bruno,Incredible Adventures
0,1244,999,465,0.0,1.5,0.0,534,-1.5,-1244,0,bruno,Incredible Adventures
1866,1458,32,258,1.5,1.5,1.2798353909465021,-226,0.0,408,0,bruno,Incredible Adventures
1733,661,70,1035,1.36,1.33,2.62178517397882,-965,0.030000000000000027,1072,1,bruno,Incredible Adventures
1047,815,653,882,1.43,1.33,1.2846625766871165,-229,0.09999999999999987,232,1,bruno,Incredible Adventures
657,655,1039,1041,1.53,1.5,1.0030534351145037,-2,0.030000000000000027,2,0,bruno,Incredible Adventures
966,0,733,999,1.5,0.0,966.0,-266,1.5,966,1,bruno,Incredible Adventures
519,0,488,999,1.33,0.0,519.0,-511,1.33,519,1,bruno,No Face Self-Portrait
443,1042,527,142,0.75,1.51,0.42514395393474086,385,-0.76,-599,0,bruno,No Face Self-Portrait
346,260,615,703,1.5,1.34,1.3307692307692307,-88,0.15999999999999992,86,1,bruno,No Face Self-Portrait
1069,1125,123,87,1.33,1.5,0.9502222222222222,36,-0.16999999999999993,-56,1,bruno,No Face Self-Portrait
1154,556,70,479,1.35,1.33,2.0755395683453237,-409,0.020000000000000018,598,1,bruno,No Face Self-Portrait
1168,1160,61,64,1.5,0.75,1.006896551724138,-3,0.75,8,1,bruno,No Face Self-Portrait
935,481,235,504,1.33,1.33,1.9438669438669438,-269,0.0,454,1,bruno,No Face Self-Portrait
811,316,713,1173,1.33,0.37,2.5664556962025316,-460,0.9600000000000001,495,1,bruno,Sweets and Candies
260,947,1190,594,1.48,1.5,0.27455121436114044,596,-0.020000000000000018,-687,0,bruno,Sweets and Candies
1819,800,5,723,1.33,1.48,2.27375,-718,-0.1499999999999999,1019,0,bruno,Sweets and Candies
723,1350,793,209,1.33,1.33,0.5355555555555556,584,0.0,-627,1,bruno,Sweets and Candies
1290,1091,266,459,1.33,1.33,1.1824014665444547,-193,0.0,199,0,bruno,Sweets and Candies
871,854,658,675,1.33,1.4,1.0199063231850116,-17,-0.06999999999999984,17,0,bruno,Sweets and Candies
1381,1280,179,276,1.51,1.65,1.07890625,-97,-0.1399999999999999,101,0,bruno,Sweets and Candies
730,710,786,806,1.33,1.5,1.028169014084507,-20,-0.16999999999999993,20,1,bruno,Sweets and Candies
0,217,999,373,0.0,1.56,0.0,626,-1.56,-217,0,bruno,House & Wild Cats
203,208,387,382,1.5,1.39,0.9759615384615384,5,0.1100000000000001,-5,0,bruno,House & Wild Cats
228,298,362,298,0.8,0.8,0.7651006711409396,64,0.0,-70,0,bruno,House & Wild Cats
187,259,403,331,1.5,1.5,0.722007722007722,72,0.0,-72,1,bruno,House & Wild Cats
185,178,405,412,1.5,0.75,1.0393258426966292,-7,0.75,7,0,bruno,House & Wild Cats
223,184,367,406,1.5,1.33,1.2119565217391304,-39,0.16999999999999993,39,0,bruno,House & Wild Cats
71,175,518,415,1.33,1.35,0.4057142857142857,103,-0.020000000000000018,-104,0,bruno,House & Wild Cats
110,182,481,408,0.46,1.33,0.6043956043956044,73,-0.8700000000000001,-72,0,bruno,House & Wild Cats
213,112,377,479,1.75,0.76,1.9017857142857142,-102,0.99,101,1,bruno,House & Wild Cats
177,112,413,479,0.73,0.76,1.5803571428571428,-66,-0.030000000000000027,65,1,bruno,House & Wild Cats
673,352,644,958,1.33,0.75,1.9119318181818181,-314,0.5800000000000001,321,1,bruno,Fanciful Sunflowers
851,585,489,730,1.33,1.0,1.4547008547008546,-241,0.33000000000000007,266,0,bruno,Fanciful Sunflowers
1227,815,135,518,1.5,1.5,1.505521472392638,-383,0.0,412,1,bruno,Fanciful Sunflowers
1179,759,180,563,1.33,1.33,1.5533596837944663,-383,0.0,420,1,bruno,Fanciful Sunflowers
606,1157,709,202,1.33,1.39,0.5237683664649957,507,-0.05999999999999983,-551,1,bruno,Fanciful Sunflowers
770,1152,552,207,1.62,1.38,0.6684027777777778,345,0.2400000000000002,-382,1,bruno,Fanciful Sunflowers
513,1096,798,258,1.33,1.33,0.46806569343065696,540,0.0,-583,1,bruno,Fanciful Sunflowers
